x,y,species max
632.0,632.0,0.20094495
633.0,633.0,0.35420766
634.0,634.0,7.3214363E-7
635.0,635.0,0.2239968
636.0,636.0,3.2491417E-7
637.0,637.0,0.028038157
638.0,638.0,0.4665608
639.0,639.0,0.24215317
640.0,640.0,0.002062591
641.0,641.0,1.709628E-5
642.0,642.0,0.0015068225
643.0,643.0,0.03726745
644.0,644.0,0.22488481
645.0,645.0,0.1032358
646.0,646.0,0.482055
647.0,647.0,0.17533258
648.0,648.0,0.0027605835
649.0,649.0,9.705703E-7
650.0,650.0,0.9697396
651.0,651.0,0.22404228
652.0,652.0,0.38911802
653.0,653.0,0.36636522
654.0,654.0,0.19939981
655.0,655.0,2.7378601E-7
656.0,656.0,1.6395435E-4
657.0,657.0,0.1993414
658.0,658.0,8.913033E-8
659.0,659.0,0.05941688
660.0,660.0,0.17497855
661.0,661.0,0.029229926
662.0,662.0,2.6703793E-7
663.0,663.0,0.0076760845
664.0,664.0,0.11017266
665.0,665.0,0.1391802
666.0,666.0,0.026575949
667.0,667.0,0.0029734722
668.0,668.0,0.09216309
669.0,669.0,0.02917328
670.0,670.0,0.0028279766
671.0,671.0,1.134463E-4
672.0,672.0,0.8700804
673.0,673.0,0.49868187
674.0,674.0,0.29581493
675.0,675.0,1.7131116E-7
676.0,676.0,0.03496196
677.0,677.0,0.00393365
678.0,678.0,1.3240268E-8
679.0,679.0,7.317402E-5
680.0,680.0,0.2631881
681.0,681.0,0.3272261
682.0,682.0,2.8501802E-6
683.0,683.0,0.006083132
684.0,684.0,0.42479187
685.0,685.0,0.011631307
686.0,686.0,0.112789236
687.0,687.0,0.6647955
688.0,688.0,6.5644673E-4
689.0,689.0,2.2691661E-7
690.0,690.0,0.05334121
691.0,691.0,0.12770492
692.0,692.0,2.0080431E-4
693.0,693.0,0.10666026
694.0,694.0,1.9042228E-6
695.0,695.0,2.6767153E-5
696.0,696.0,2.9848006E-6
697.0,697.0,0.01973874
698.0,698.0,2.7881725E-8
699.0,699.0,0.0038539483
700.0,700.0,0.49404144
701.0,701.0,2.2671944E-8
702.0,702.0,0.31217393
703.0,703.0,0.93296957
704.0,704.0,0.17024618
705.0,705.0,0.0011122108
706.0,706.0,0.041884575
707.0,707.0,0.031480484
708.0,708.0,0.018568626
709.0,709.0,0.0019551744
710.0,710.0,3.070335E-4
711.0,711.0,0.019615434
712.0,712.0,0.29648098
713.0,713.0,0.019068819
714.0,714.0,8.795985E-4
715.0,715.0,1.5463905E-6
716.0,716.0,0.42019874
717.0,717.0,0.19599222
718.0,718.0,0.19015813
719.0,719.0,0.02959003
720.0,720.0,0.20663947
721.0,721.0,0.061386
722.0,722.0,4.9232E-4
723.0,723.0,0.23895136
724.0,724.0,0.06968963
725.0,725.0,0.41276917
726.0,726.0,0.12433334
727.0,727.0,1.4126186E-4
728.0,728.0,0.21880578
729.0,729.0,0.051003143
730.0,730.0,0.1350371
731.0,731.0,1.3762062E-5
732.0,732.0,1.3368663E-7
733.0,733.0,0.009772457
734.0,734.0,0.38055807
735.0,735.0,0.14368197
736.0,736.0,0.15094124
737.0,737.0,0.29629418
738.0,738.0,0.09254779
739.0,739.0,1.5546359E-8
740.0,740.0,0.3240951
741.0,741.0,0.057684775
742.0,742.0,5.6361273E-6
743.0,743.0,0.09521562
744.0,744.0,0.35755497
745.0,745.0,1.1060635E-6
746.0,746.0,0.19886419
747.0,747.0,4.1572283E-9
748.0,748.0,3.6778943E-8
749.0,749.0,1.14139126E-4
750.0,750.0,2.42852E-5
751.0,751.0,0.27313045
752.0,752.0,0.23095821
753.0,753.0,0.9888546
754.0,754.0,3.0177735E-5
755.0,755.0,0.73673093
756.0,756.0,0.005173494
757.0,757.0,0.2702372
758.0,758.0,0.14273703
759.0,759.0,0.40361616
760.0,760.0,6.6336215E-5
761.0,761.0,5.9456795E-8
762.0,762.0,5.8320605E-8
763.0,763.0,0.0024548855
