"","binomial","CloudMin","Cloud1Q","CloudMed","CloudMea","Cloud3Q","CloudMax"
"187","Hydromantes ambrosii","Hydromantes ambrosii","Hydromantes ambrosii","Hydromantes ambrosii","Hydromantes ambrosii","Hydromantes ambrosii","Hydromantes ambrosii"
"188","Hydromantes brunus","53.34  ","54.00  ","54.20  ","54.96  ","55.58  ","58.02  "
"189","Hydromantes flavus","Hydromantes flavus","Hydromantes flavus","Hydromantes flavus","Hydromantes flavus","Hydromantes flavus","Hydromantes flavus"
"190","Hydromantes genei","Hydromantes genei","Hydromantes genei","Hydromantes genei","Hydromantes genei","Hydromantes genei","Hydromantes genei"
"191","Hydromantes imperialis","Hydromantes imperialis","Hydromantes imperialis","Hydromantes imperialis","Hydromantes imperialis","Hydromantes imperialis","Hydromantes imperialis"
"192","Hydromantes italicus","Hydromantes italicus","Hydromantes italicus","Hydromantes italicus","Hydromantes italicus","Hydromantes italicus","Hydromantes italicus"
"193","Hydromantes platycephalus"," 30.99  "," 60.24  "," 72.16  "," 72.46  "," 88.06  ","111.23  "
"194","Hydromantes shastae","65.73  ","68.51  ","68.65  ","69.02  ","69.67  ","72.60  "
"195","Hydromantes strinatii","Hydromantes strinatii","Hydromantes strinatii","Hydromantes strinatii","Hydromantes strinatii","Hydromantes strinatii","Hydromantes strinatii"
"196","Hydromantes supramontis","Hydromantes supramontis","Hydromantes supramontis","Hydromantes supramontis","Hydromantes supramontis","Hydromantes supramontis","Hydromantes supramontis"
"197","Isthmura bellii"," 53.57  "," 84.44  "," 94.85  "," 99.21  ","108.94  ","187.20  "
"198","Ixalotriton niger","166.8  ","169.5  ","172.2  ","172.2  ","175.0  ","177.7  "
"199","Ixalotriton parvus","171.3  ","171.3  ","171.3  ","171.3  ","171.3  ","171.3  "
"200","Karsenia koreana","Karsenia koreana","Karsenia koreana","Karsenia koreana","Karsenia koreana","Karsenia koreana","Karsenia koreana"
"201","Nototriton abscondens","215.5  ","225.8  ","229.2  ","227.1  ","230.8  ","233.1  "
"202","Nototriton barbouri","170.1  ","193.1  ","196.2  ","191.0  ","196.5  ","199.1  "
"203","Nototriton brodiei","190.8  ","190.8  ","190.8  ","190.8  ","190.8  ","190.8  "
"204","Nototriton limnospectator","168.8  ","172.2  ","175.6  ","175.6  ","179.0  ","182.4  "
"205","Nototriton picadoi","212.4  ","216.0  ","219.7  ","219.7  ","223.4  ","227.1  "
"206","Nototriton richardi","226.3  ","228.3  ","230.3  ","230.4  ","232.5  ","234.7  "
"207","Nototriton saslaya","196.2  ","196.2  ","196.2  ","196.2  ","196.2  ","196.2  "
"208","Nyctanolis pernix","157.8  ","178.0  ","191.6  ","188.3  ","200.0  ","205.2  "
"209","Oedipina carablanca","220.1  ","224.7  ","226.3  ","225.7  ","228.1  ","228.8  "
"210","Oedipina complex","205.4  ","222.5  ","229.9  ","228.3  ","234.8  ","243.8  "
"211","Oedipina cyclocauda","127.8  ","191.2  ","201.4  ","198.2  ","210.0  ","234.0  "
"212","Oedipina elongata","121.8  ","163.5  ","182.6  ","175.2  ","188.5  ","205.1  "
"213","Oedipina gephyra","211.6  ","211.6  ","211.6  ","211.6  ","211.6  ","211.6  "
"214","Oedipina gracilis","200.5  ","210.4  ","217.7  ","217.3  ","223.9  ","234.0  "
"215","Oedipina grandis","229.6  ","230.3  ","231.1  ","231.1  ","231.8  ","232.6  "
"216","Oedipina maritima","220  ","220  ","220  ","220  ","220  ","220  "
"217","Oedipina parvipes","203.9  ","220.1  ","225.9  ","225.2  ","230.9  ","241.2  "
"218","Oedipina poelzi","230.8  ","231.3  ","231.8  ","232.4  ","233.2  ","234.7  "
"219","Oedipina pseudouniformis","187.8  ","208.7  ","225.1  ","217.8  ","228.7  ","236.8  "
"220","Oedipina savagei","213.1  ","214.5  ","218.0  ","218.8  ","222.3  ","226.1  "
"221","Oedipina taylori","113.5  ","138.7  ","148.5  ","151.8  ","164.3  ","192.9  "
"222","Oedipina tomasi","190.8  ","190.8  ","190.8  ","190.8  ","190.8  ","190.8  "
"223","Oedipina uniformis","190.5  ","211.6  ","220.0  ","218.6  ","226.3  ","239.2  "
"224","Parvimolge townsendi","190.7  ","193.4  ","196.0  ","195.3  ","196.6  ","201.6  "
"225","Phaeognathus hubrichti","122.5  ","123.8  ","124.9  ","124.7  ","125.5  ","126.8  "
"226","Plethodon albagula","106.1  ","125.6  ","132.7  ","134.1  ","140.8  ","173.2  "
"227","Plethodon amplus","133.7  ","134.0  ","134.7  ","136.3  ","135.8  ","143.4  "
"228","Plethodon angusticlavius","116.0  ","125.0  ","128.8  ","130.0  ","134.9  ","154.2  "
"229","Plethodon asupak","89.39  ","89.39  ","89.39  ","89.39  ","89.39  ","89.39  "
"230","Plethodon caddoensis","124.6  ","125.9  ","128.1  ","127.6  ","129.1  ","130.3  "
"231","Plethodon cheoah","130.8  ","132.5  ","134.3  ","134.3  ","136.0  ","137.8  "
"232","Plethodon cinereus","113.7  ","176.8  ","187.1  ","183.5  ","195.5  ","207.5  "
"233","Plethodon cylindraceus","110.3  ","132.8  ","138.7  ","141.1  ","148.9  ","187.5  "
"234","Plethodon dunni"," 97.57  ","133.22  ","148.32  ","146.31  ","160.87  ","180.47  "
"235","Plethodon electromorphus","154.8  ","171.6  ","179.6  ","178.3  ","184.4  ","196.4  "
"236","Plethodon elongatus"," 76.69  "," 91.31  ","101.10  ","102.84  ","110.03  ","152.54  "
"237","Plethodon fourchensis","123.4  ","123.4  ","123.4  ","123.4  ","123.4  ","123.4  "
"238","Plethodon glutinosus"," 97.6  ","134.2  ","152.5  ","154.0  ","171.9  ","203.3  "
"239","Plethodon hoffmani","142.2  ","164.8  ","180.1  ","176.2  ","187.6  ","196.9  "
"240","Plethodon hubrichti","141.3  ","141.3  ","141.3  ","141.3  ","141.3  ","141.3  "
"241","Plethodon idahoensis","146.1  ","166.9  ","174.0  ","172.6  ","178.8  ","196.6  "
"242","Plethodon kentucki","153.5  ","160.6  ","161.9  ","162.3  ","163.4  ","172.3  "
"243","Plethodon kiamichi","119.2  ","122.1  ","126.4  ","127.4  ","132.1  ","138.8  "
"244","Plethodon kisatchie","118.5  ","122.6  ","125.5  ","127.1  ","129.1  ","152.8  "
"245","Plethodon larselli","113.9  ","127.7  ","162.2  ","151.8  ","167.8  ","188.2  "
"246","Plethodon meridianus","117.7  ","121.0  ","123.0  ","123.1  ","126.0  ","128.1  "
"247","Plethodon metcalfi","115.9  ","125.8  ","133.6  ","132.8  ","138.1  ","155.5  "
"248","Plethodon montanus","140.9  ","152.4  ","156.4  ","156.3  ","161.2  ","171.0  "
"249","Plethodon neomexicanus","100.6  ","110.0  ","121.1  ","120.2  ","128.8  ","139.9  "
"250","Plethodon nettingi","181.1  ","182.2  ","182.9  ","183.4  ","184.3  ","188.0  "
"251","Plethodon ouachitae","119.2  ","120.2  ","120.4  ","121.1  ","121.7  ","123.7  "
"252","Plethodon petraeus","139.5  ","139.7  ","140.5  ","140.5  ","141.3  ","141.6  "
"253","Plethodon punctatus","149.9  ","157.1  ","163.5  ","163.5  ","166.9  ","187.5  "
"254","Plethodon sequoyah","121.9  ","121.9  ","121.9  ","121.9  ","121.9  ","121.9  "
"255","Plethodon serratus","113.1  ","128.5  ","134.1  ","134.4  ","138.9  ","165.9  "
