X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
4113.0,4113.0,train,9.666714231668337E-5,14.702170070362186,0.497925678816465
4114.0,4114.0,train,9.920971682709561E-5,15.243288970084057,0.5069425780589087
4115.0,4115.0,train,8.99010576253225E-5,13.429907321874369,0.4731192343068463
4117.0,4117.0,train,8.369258129818374E-5,12.497626567039257,0.44928030364018523
4118.0,4118.0,train,5.2527225640239E-5,8.549512926923594,0.31229434229373865
4119.0,4119.0,train,2.5180494624633653E-5,4.853327404070393,0.16429292641260596
4120.0,4120.0,train,2.7379927321898896E-5,5.27712172279548,0.1772919243016441
4121.0,4121.0,train,5.4263103824503606E-5,8.779212081345616,0.32075068835008314
4122.0,4122.0,train,4.815702760851159E-5,8.048784629096206,0.2905357873250699
4123.0,4123.0,train,1.1566278260138733E-4,19.76338604682966,0.5615023896135695
4124.0,4124.0,train,2.7925175580437096E-5,5.371236806042567,0.18048303041388025
4125.0,4125.0,train,8.369995465423545E-5,12.498592645128763,0.4493092456864186
4126.0,4126.0,train,2.098655539090258E-4,75.73541987095538,0.775940340354565
4127.0,4127.0,train,1.371218815576199E-4,28.327070289998165,0.6236942580094098
4128.0,4128.0,train,9.620425034250801E-5,14.60799916732353,0.49626643913458357
4129.0,4129.0,train,1.152024225902301E-4,19.602134825733543,0.5600611958738868
4130.0,4130.0,train,1.2480763346517276E-4,23.01228139367493,0.5891725500449674
4131.0,4131.0,train,1.2276838285315192E-4,22.09182145648941,0.5831575595431966
4132.0,4132.0,train,1.309584303924461E-4,25.55821340887677,0.6067943631970714
4133.0,4133.0,train,1.0069216109806416E-4,15.672010104880153,0.5121249464570252
4134.0,4134.0,train,8.256410461292259E-5,12.349770340850988,0.4448328053116253
4135.0,4135.0,train,1.0004264363481229E-4,15.485373751079456,0.5098610844630906
4136.0,4136.0,train,1.1837813147196661E-4,20.514242790844104,0.5699074688096705
4138.0,4138.0,train,9.360466171542995E-5,14.095307213252498,0.4868458067958631
4140.0,4140.0,train,8.216092417633766E-5,12.296944492869388,0.44323511631036094
4141.0,4141.0,train,8.835197217757493E-5,13.183952596347954,0.46726955116742086
4142.0,4142.0,train,4.551862708456049E-5,7.756251403357822,0.2770676971415569
4144.0,4144.0,train,1.1227668096795086E-4,18.61412784113018,0.5507905660883746
4145.0,4145.0,train,1.6213004209919194E-4,42.84581976821499,0.6851321044993951
4146.0,4146.0,train,2.1860254389631878E-4,81.56610405416129,0.7894678511348214
4147.0,4147.0,train,1.6337982052134025E-4,43.63381822864907,0.6879244768695247
4148.0,4148.0,train,1.0620274749312471E-4,17.05274134447459,0.5309159595849604
4149.0,4149.0,train,6.926365907715817E-5,10.4990468654093,0.38962720770742965
4150.0,4150.0,train,1.0177007176141607E-4,15.957853093376498,0.5158589003266938
4151.0,4151.0,train,8.733905273478275E-5,13.038790217683239,0.46340947441150127
4152.0,4152.0,train,1.0152755357056193E-4,15.895462825183706,0.5150213006288564
4154.0,4154.0,train,8.708588020089059E-5,13.002507599824478,0.4624403125321458
4156.0,4156.0,train,1.1139466907428686E-4,18.338361776749586,0.5479576482216391
4157.0,4157.0,train,9.607348387261763E-5,14.5813959915422,0.495796713215637
4158.0,4158.0,train,1.3926699248673565E-4,29.445323093425465,0.6294040406779524
4159.0,4159.0,train,1.1955978692423027E-4,20.93163139666334,0.5735146667738306
4160.0,4160.0,train,1.1193435059806779E-4,18.501524449784036,0.5496931556799429
4161.0,4161.0,train,1.1041640768546405E-4,18.003066959898867,0.54479468715558
4162.0,4162.0,train,1.137152995520545E-4,19.10646039993209,0.5553731946080666
4163.0,4163.0,train,1.023792973897459E-4,16.143328535209964,0.5179566437221605
4164.0,4164.0,train,6.794636935065324E-5,10.339054106162417,0.38386933945324186
4165.0,4165.0,train,5.613848724876988E-5,9.0037582648477,0.32976982006876365
4166.0,4166.0,train,3.949455683578945E-5,7.035881148239068,0.2453508822217293
4167.0,4167.0,train,7.960723768266332E-5,11.924528438987494,0.43300824730711707
4168.0,4168.0,train,8.996789824390883E-5,13.441038423925216,0.47337018834399447
4169.0,4169.0,train,1.7073114180920958E-5,3.1953861871334923,0.11457785871736315
4170.0,4170.0,train,2.1260702298229957E-4,77.79947427868201,0.780276004862908
4172.0,4172.0,train,9.979772150477871E-5,15.412579829804322,0.5090046952765006
4173.0,4173.0,train,1.6315600129911194E-4,43.49363884841651,0.6874262256388493
4174.0,4174.0,train,5.80743559994518E-5,9.25564455686956,0.3389542442813952
4175.0,4175.0,train,8.185938070776099E-5,12.257337459026385,0.44203718094268996
4176.0,4176.0,train,9.052697750825214E-5,13.542618462246187,0.47546458352853793
4177.0,4177.0,train,9.017045935036277E-5,13.474771330579259,0.47412997708820626
4178.0,4178.0,train,9.702965047265555E-5,14.777596844984677,0.4992212750373186
4179.0,4179.0,train,1.1388727547076183E-4,19.158853835585884,0.555917875276811
4180.0,4180.0,train,1.4054433774766015E-4,30.22071378842653,0.632762795531545
4181.0,4181.0,train,1.4681619423090092E-4,33.92072916660333,0.6488180261227554
4182.0,4182.0,train,1.5616748865201701E-4,39.19800183527493,0.671462162063719
4184.0,4184.0,train,1.2290521560994773E-4,22.139588179651113,0.5835639046848282
4185.0,4185.0,train,1.3758702078432237E-4,28.584662246667982,0.6249397728994841
4186.0,4186.0,train,1.1922357465527872E-4,20.825015314477223,0.5724914139256765
