x,y,species min
617.0,617.0,2.2595682E-6
618.0,618.0,0.0021729898
619.0,619.0,2.7138562E-5
620.0,620.0,7.1745143E-10
621.0,621.0,6.9986184E-10
622.0,622.0,7.9604234E-10
623.0,623.0,1.5720933E-4
624.0,624.0,2.9271696E-11
625.0,625.0,5.385267E-7
626.0,626.0,5.341277E-7
627.0,627.0,2.6462827E-8
628.0,628.0,1.8922458E-7
629.0,629.0,6.5875554E-4
630.0,630.0,1.330026E-6
631.0,631.0,1.2474997E-4
632.0,632.0,1.3099087E-7
633.0,633.0,5.7449855E-5
634.0,634.0,1.3888351E-7
635.0,635.0,5.740408E-7
636.0,636.0,0.0017538101
637.0,637.0,0.47231182
638.0,638.0,2.7806248E-6
639.0,639.0,6.1335236E-8
640.0,640.0,3.280242E-4
641.0,641.0,1.0916953E-5
642.0,642.0,2.3014701E-11
643.0,643.0,2.3182401E-4
644.0,644.0,0.0010990141
645.0,645.0,2.1284131E-6
646.0,646.0,3.1883075E-4
647.0,647.0,6.318451E-5
648.0,648.0,1.541676E-6
649.0,649.0,0.0037201599
650.0,650.0,4.5745185E-9
651.0,651.0,3.0508962E-5
652.0,652.0,2.6322487E-6
653.0,653.0,0.007334394
654.0,654.0,2.7357323E-6
655.0,655.0,1.8081076E-6
656.0,656.0,7.4495954E-5
657.0,657.0,0.008108678
658.0,658.0,2.5391885E-6
659.0,659.0,1.0908325E-9
660.0,660.0,1.5599566E-6
661.0,661.0,7.2713965E-6
662.0,662.0,1.5726405E-4
663.0,663.0,7.672413E-6
664.0,664.0,0.30298644
665.0,665.0,7.7088174E-7
666.0,666.0,1.1348861E-5
667.0,667.0,1.8503272E-9
668.0,668.0,4.8044376E-7
669.0,669.0,8.3712584E-5
670.0,670.0,5.9334877E-8
671.0,671.0,4.6093824E-6
672.0,672.0,0.045414545
673.0,673.0,1.9595597E-4
674.0,674.0,7.779126E-6
675.0,675.0,4.2072222E-7
676.0,676.0,7.967146E-10
677.0,677.0,1.15278596E-7
678.0,678.0,3.8355915E-4
679.0,679.0,0.0041840067
680.0,680.0,7.670323E-4
681.0,681.0,4.646135E-4
682.0,682.0,4.6457462E-5
683.0,683.0,0.0025952999
684.0,684.0,4.1763797E-5
685.0,685.0,0.047955804
686.0,686.0,5.7046345E-5
687.0,687.0,7.007443E-8
688.0,688.0,1.5358928E-6
689.0,689.0,0.671676
690.0,690.0,6.569337E-9
691.0,691.0,4.1890243E-4
692.0,692.0,6.4013866E-6
693.0,693.0,2.2629742E-8
694.0,694.0,6.683212E-7
695.0,695.0,2.9062616E-7
696.0,696.0,1.3781092E-8
697.0,697.0,7.563977E-5
698.0,698.0,9.846028E-6
699.0,699.0,1.3613737E-5
700.0,700.0,3.1094427E-9
701.0,701.0,6.7899184E-4
702.0,702.0,4.0933986E-7
703.0,703.0,5.1976247E-8
704.0,704.0,9.7414195E-6
705.0,705.0,1.3807607E-5
706.0,706.0,1.8501618E-7
707.0,707.0,5.9996223E-6
708.0,708.0,0.34059867
709.0,709.0,9.455403E-8
710.0,710.0,0.0086874
711.0,711.0,1.9603678E-5
712.0,712.0,3.445976E-8
713.0,713.0,2.3761964E-4
714.0,714.0,3.0760505E-11
715.0,715.0,2.176745E-7
716.0,716.0,5.2368332E-11
717.0,717.0,9.1569484E-7
718.0,718.0,1.14695365E-4
719.0,719.0,4.1440492E-7
720.0,720.0,0.004827083
721.0,721.0,0.6571641
722.0,722.0,4.3988146E-12
723.0,723.0,7.690556E-6
724.0,724.0,5.2969367E-6
725.0,725.0,0.01055574
726.0,726.0,2.8531662E-5
727.0,727.0,2.279265E-7
728.0,728.0,2.7994596E-4
729.0,729.0,2.1611382E-5
730.0,730.0,1.899565E-5
731.0,731.0,1.7110203E-6
732.0,732.0,2.4524447E-6
733.0,733.0,0.055350885
734.0,734.0,2.4732356E-7
735.0,735.0,0.00643709
736.0,736.0,1.1268125E-6
737.0,737.0,8.9088803E-7
738.0,738.0,1.9252082E-6
739.0,739.0,1.8319527E-6
740.0,740.0,1.2123736E-4
741.0,741.0,4.000013E-6
742.0,742.0,4.1359675E-4
743.0,743.0,7.8193125E-6
744.0,744.0,4.507015E-6
745.0,745.0,8.21464E-5
746.0,746.0,1.7417041E-6
747.0,747.0,1.3930583E-7
748.0,748.0,4.1606388E-4
749.0,749.0,1.7827733E-6
750.0,750.0,6.8572356E-4
751.0,751.0,1.07359396E-4
752.0,752.0,4.3618666E-6
753.0,753.0,1.2789755E-4
754.0,754.0,5.245598E-4
755.0,755.0,2.1013022E-8
756.0,756.0,6.222639E-7
757.0,757.0,3.267875E-7
758.0,758.0,8.538935E-4
759.0,759.0,2.7818006E-4
760.0,760.0,4.7021018E-5
761.0,761.0,6.1379797E-7
762.0,762.0,1.2924786E-6
763.0,763.0,0.0019228497
764.0,764.0,7.2934214E-11
765.0,765.0,7.091166E-6
766.0,766.0,2.7789176E-6
767.0,767.0,2.333267E-7
768.0,768.0,5.770114E-5
769.0,769.0,1.6549675E-6
770.0,770.0,1.0003923E-5
771.0,771.0,3.108432E-5
772.0,772.0,5.3576315E-7
773.0,773.0,0.0039321682
774.0,774.0,7.6186634E-4
775.0,775.0,8.38452E-7
776.0,776.0,1.6879574E-7
777.0,777.0,0.0068057375
778.0,778.0,4.2066826E-5
779.0,779.0,9.178164E-8
780.0,780.0,5.9626393E-7
781.0,781.0,0.020922177
782.0,782.0,7.649437E-12
783.0,783.0,5.959551E-7
784.0,784.0,2.2176832E-6
